type,t,x,y,z,qx,qy,qz,qw
estimator,1716592598.408128,-1.504588,-24.324882,0.007450,-0.000019,0.000789,-0.019210,0.999815
odom,8.219000,-1.987403,-0.484407,0.008718,0.000008,0.000777,0.000217,1.000000
estimator,1716592598.411515,-1.986646,-0.507820,0.007946,0.000010,0.000785,0.000181,1.000000
real,8.185000,-1.999973,-0.500000,0.008717,0.000006,0.000776,0.000216,1.000000
odom,8.253000,-2.055874,-0.498568,0.008722,0.000010,0.000779,0.000218,1.000000
estimator,1716592598.415738,-1.987404,-0.484407,0.007913,0.000012,0.000786,0.000217,1.000000
real,8.219000,-1.999973,-0.500000,0.008718,0.000008,0.000777,0.000217,1.000000
real,8.253000,-1.999973,-0.500000,0.008722,0.000010,0.000779,0.000218,1.000000
odom,8.287000,-1.984419,-0.552916,0.008724,0.000010,0.000778,0.000219,1.000000
estimator,1716592598.450149,-2.055875,-0.498568,0.007919,0.000013,0.000787,0.000218,1.000000
real,8.287000,-1.999973,-0.500000,0.008724,0.000010,0.000778,0.000219,1.000000
odom,8.321000,-1.946481,-0.417620,0.008727,0.000008,0.000778,0.000220,1.000000
estimator,1716592598.483788,-1.984420,-0.552916,0.007919,0.000014,0.000786,0.000219,1.000000
real,8.321000,-1.999973,-0.500000,0.008727,0.000008,0.000778,0.000220,1.000000
odom,8.355000,-1.946845,-0.555836,0.008728,0.000007,0.000778,0.000221,1.000000
estimator,1716592598.517702,-1.946483,-0.417620,0.007923,0.000011,0.000787,0.000220,1.000000
real,8.355000,-1.999973,-0.500000,0.008728,0.000007,0.000778,0.000221,1.000000
odom,8.389000,-2.028779,-0.588405,0.008727,0.000010,0.000778,0.000222,1.000000
estimator,1716592598.566492,-1.873869,0.312484,0.007827,-0.000011,0.000787,-0.027187,0.999630
real,8.389000,-1.999973,-0.500000,0.008727,0.000010,0.000778,0.000222,1.000000
odom,8.423000,-1.931329,-0.592740,0.008726,0.000008,0.000777,0.000223,1.000000
estimator,1716592598.587910,-1.987951,-0.572096,0.007986,0.000011,0.000787,0.000212,1.000000
real,8.423000,-1.999973,-0.500000,0.008726,0.000008,0.000777,0.000223,1.000000
odom,8.457000,-2.073042,-0.443114,0.008726,0.000007,0.000778,0.000224,1.000000
estimator,1716592598.621362,-1.931330,-0.592740,0.008048,0.000009,0.000786,0.000223,1.000000
real,8.457000,-1.999972,-0.500000,0.008726,0.000007,0.000778,0.000224,1.000000
odom,8.491000,-2.092899,-0.499266,0.008726,0.000010,0.000777,0.000225,1.000000
estimator,1716592598.655553,-2.073043,-0.443114,0.008050,0.000008,0.000787,0.000224,1.000000
real,8.491000,-1.999972,-0.500000,0.008726,0.000010,0.000777,0.000225,1.000000
odom,8.525000,-1.984815,-0.480009,0.008717,0.000012,0.000776,0.000226,1.000000
estimator,1716592598.689506,-2.092900,-0.499266,0.008050,0.000011,0.000786,0.000225,1.000000
real,8.525000,-1.999972,-0.500000,0.008717,0.000012,0.000776,0.000226,1.000000
odom,8.559000,-2.043886,-0.444777,0.008717,0.000008,0.000777,0.000227,1.000000
estimator,1716592598.722756,-1.984816,-0.480009,0.008039,0.000012,0.000785,0.000226,1.000000
real,8.559000,-1.999972,-0.500000,0.008717,0.000008,0.000777,0.000227,1.000000
odom,8.593000,-2.017432,-0.591817,0.008720,0.000007,0.000777,0.000227,1.000000
